# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.197
metadata : {}


# id : NWRW1800000021.197.1.1
“충격적인 판갈아엎기… 후속 인사태풍 언제 얼마까지”

“충격적인	“/SS+충격/NNG+적/XSN+이/VCP+ㄴ/ETM
선제적으로	선제/NNG+적/XSN+으로/JKB
조치를	조치/NNG+를/JKO
취하는	취하/VV+는/ETM
곳으로	곳/NNG+으로/JKB
바뀐다는	바뀌/VV+ㄴ다는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.31.8
앞으로 정무 영역에 더 많은 시간을 쓰겠다는 취지다”며 향후 청와대가 모든 영역에서 정무적 고려를 강화하겠다는 뜻을 내비쳤다.

앞으로	앞/NNG+으로/JKB
정무	정무/NNG
영역에	영역/NNG+에/JKB
더	더/MAG
많은	많/VA+은/ETM
시간을	시간/NNG+을/JKO
쓰겠다는	쓰/VV+겠/EP+다는/ETM
취지다”며	취지/NNG+이/VCP+다/EF+”/SS+며/EC
향후	향후/NNG
청와대가	청와대/NNP+가/JKS
모든	모든/MMN
영역에서	영역/NNG+에서/JKB
정무적	정무/NNG+적/XSN
고려를	고려/NNG+를/JKO
강화하겠다는	강화/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.197.32.1
이번 인사가 향후 전개될 국정쇄신의 ‘예고탄’이 아니냐는 관측도 나오고 있다.

이번	이번/NNG
인사가	인사/NNG+가/JKS
향후	향후/NNG
전개될	전개/NNG+되/XSV+ㄹ/ETM
국정쇄신의	국정/NNG+쇄신/NNG+의/JKG
‘예고탄’이	‘/SS+예고탄/NNG+’/SS+이/JKC
아니냐는	아니/VCN+냐는/ETM
관측도	관측/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.197.32.2
4대 권력기관장 가운데 2명에 대한 인선을 ‘기수 파괴’ ‘외부인사 기용’ ‘충청권 인물 기용’ 등 파격적으로 단행한 것은 향후 인적쇄신을 포함한 전방위 변화의 시작을 알리는 의미도 있다는 것이다.

4대	4/SN+대/NNG
권력기관장	권력/NNG+기관장/NNG
가운데	가운데/NNG
2명에	2/SN+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
인선을	인선/NNG+을/JKO
‘기수	‘/SS+기수/NNG
파괴’	파괴/NNG+’/SS
‘외부인사	‘/SS+외부/NNG+인사/NNG
기용’	기용/NNG+’/SS
‘충청권	‘/SS+충청/NNP+권/XSN
인물	인물/NNG
등	등/NNB
파격적으로	파격/NNG+적/XSN+으로/JKB
단행한	단행/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
향후	향후/NNG
인적쇄신을	인/NNG+적/XSN+쇄신/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
전방위	전방위/NNG
변화의	변화/NNG+의/JKG
시작을	시작/NNG+을/JKO
알리는	알리/VV+는/ETM
의미도	의미/NNG+도/JX
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.33.1
==바로잡습니다.==

==바로잡습니다.==	=/SW+=/SW+바로잡/VV+습니다/EF+./SF+=/SW+=/SW


# id : NWRW1800000021.197.34.1
◇22일자 A3면 “충격적인 판갈아엎기…” 기사 가운데 ‘김준규 대전지검장’은 ‘김준규 대전고검장’으로 바로잡습니다.

◇22일자	◇/SW+22/SN+일자/NNG
A3면	A/SL+3/SN+면/NNG
“충격적인	“/SS+충격/NNG+적/XSN+이/VCP+ㄴ/ETM
판갈아엎기…”	판/NNG+갈아엎/VV+기/ETN+…/SE+”/SS
기사	기사/NNG
가운데	가운데/NNG
‘김준규	‘/SS+김준규/NNP
대전지검장’은	대전지검장/NNG+’/SS+은/JX
대전고검장’으로	대전고검장/NNG+’/SS+으로/JKB
바로잡습니다.	바로잡/VV+습니다/EF+./SF


