# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.374
metadata : {}


# id : NWRW1800000022.374.1.1
폭락설에서 폭등설까지… 널뛰는 한국 부동산 시장 전망;"근거없는 부동산 불패론·폭락론은 무책임한 선전선동일 뿐"

폭락설에서	폭락설/NNG+에서/JKB
부동산을	부동산/NNG+을/JKO
투매하는	투매/NNG+하/XSV+는/ETM
침체기에	침체기/NNG+에/JKB
알짜	알짜/NNG
저가에	저가/NNG+에/JKB
매수하는	매수/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
부를	부/NNG+를/JKO
추적했다.	추적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.27.4
경쟁업체의 파산을 딛고 성장했다고 해서 붙여진 별명이 '묘지의 댄서'이다.

경쟁업체의	경쟁업체/NNG+의/JKG
파산을	파산/NNG+을/JKO
딛고	딛/VV+고/EC
성장했다고	성장/NNG+하/XSV+았/EP+다고/EC
해서	하/VV+아서/EC
붙여진	붙이/VV+어/EC+지/VX+ㄴ/ETM
별명이	별명/NNG+이/JKS
'묘지의	'/SS+묘지/NNG+의/JKG
댄서'이다.	댄서/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.374.27.5
워런 버핏도 주가가 오르면 영원히 주가가 오를 것 같은 탐욕이, 하락하면 주가가 끝없이 추락할 것 같은 공포가 지배한다며 공포와 탐욕을 극복해야 현명한 투자가가 될 수 있다고 역설했다.

워런	워런/NNP
버핏도	버핏/NNP+도/JX
주가가	주가/NNG+가/JKS
오르면	오르/VV+면/EC
영원히	영원히/MAG
오를	오르/VV+ㄹ/ETM
것	것/NNB
같은	같/VA+은/ETM
탐욕이,	탐욕/NNG+이/JKS+,/SP
하락하면	하락/NNG+하/XSV+면/EC
끝없이	끝없이/MAG
추락할	추락/NNG+하/XSV+ㄹ/ETM
공포가	공포/NNG+가/JKS
지배한다며	지배/NNG+하/XSV+ㄴ다며/EC
공포와	공포/NNG+와/JC
탐욕을	탐욕/NNG+을/JKO
극복해야	극복/NNG+하/XSV+아야/EC
현명한	현명/NNG+하/XSA+ㄴ/ETM
투자가가	투자가/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
역설했다.	역설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.28.1
지금이 집을 살 수 있는 마지막 기회라거나, 집을 팔 수 있는 마지막 찬스라는 식의 주장은 무책임하고 비과학적인 선전선동일 뿐이다.

지금이	지금/NNG+이/JKS
집을	집/NNG+을/JKO
살	살/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
마지막	마지막/NNG
기회라거나,	기회/NNG+이/VCP+라거나/EC+,/SP
팔	팔/VV+ㄹ/ETM
찬스라는	찬스/NNG+이/VCP+라는/ETM
식의	식/NNB+의/JKG
주장은	주장/NNG+은/JX
무책임하고	무/XPN+책임/NNG+하/XSA+고/EC
비과학적인	비/XPN+과학/NNG+적/XSN+이/VCP+ㄴ/ETM
선전선동일	선전/NNG+선동/NNG+이/VCP+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


